"idPop"','"Sexe"','"annee"','"taux"','"idP"
('25TOT1987','TOT','1987','38,4','25')
('25TOT1989','TOT','1989','35,9','25')
('25TOT1993','TOT','1993','32,1','25')
('25TOT1995','TOT','1995','33,7','25')
('25TOT1997','TOT','1997','33,2','25')
('25TOT2001','TOT','2001','31,7','25')
('25TOT2003','TOT','2003','28,1','25')
('25TOT2006','TOT','2006','26,4','25')
('25TOT2009','TOT','2009','26,2','25')
('25TOT2011','TOT','2011','23,9','25')
('25TOT2014','TOT','2014','23','25')
('25TOT2017','TOT','2017','22,1','25')
('35TOT2020','TOT','2020','19,8','35')
('26TOT1980','TOT','1980','32,4','26')
('26TOT1981','TOT','1981','30,4','26')
('26TOT1982','TOT','1982','30,6','26')
('26TOT1983','TOT','1983','29','26')
('26TOT1984','TOT','1984','30,5','26')
('26TOT1985','TOT','1985','28,5','26')
('26TOT1986','TOT','1986','27,6','26')
('26TOT1987','TOT','1987','27,7','26')
('26TOT1988','TOT','1988','27','26')
('26TOT1989','TOT','1989','25,9','26')
('26TOT1990','TOT','1990','25,8','26')
('26TOT1991','TOT','1991','25,1','26')
('26TOT1992','TOT','1992','25,9','26')
('26TOT1993','TOT','1993','23,3','26')
('26TOT1994','TOT','1994','22,7','26')
('26TOT1995','TOT','1995','22,8','26')
('26TOT1996','TOT','1996','22,3','26')
('26TOT1997','TOT','1997','19,2','26')
('26TOT1998','TOT','1998','19,1','26')
('26TOT1999','TOT','1999','19,3','26')
('26TOT2000','TOT','2000','18,9','26')
('26TOT2001','TOT','2001','18,9','26')
('26TOT2002','TOT','2002','17,5','26')
('26TOT2003','TOT','2003','17,2','26')
('26TOT2004','TOT','2004','15,9','26')
('26TOT2005','TOT','2005','15,7','26')
('26TOT2006','TOT','2006','15,2','26')
('26TOT2007','TOT','2007','13,8','26')
('26TOT2008','TOT','2008','14,6','26')
('26TOT2009','TOT','2009','14','26')
('26TOT2010','TOT','2010','13,6','26')
('26TOT2011','TOT','2011','13,1','26')
('26TOT2012','TOT','2012','12,8','26')
('26TOT2013','TOT','2013','10,7','26')
('26TOT2014','TOT','2014','11,9','26')
('26TOT2015','TOT','2015','11,2','26')
('26TOT2016','TOT','2016','10,9','26')
('26TOT2017','TOT','2017','10,4','26')
('26TOT2018','TOT','2018','10,1','26')
('26TOT2019','TOT','2019','10,4','26')
('27TOT1992','TOT','1992','28,1','27')
('27TOT1997','TOT','1997','28,9','27')
('27TOT2002','TOT','2002','26,5','27')
('27TOT2007','TOT','2007','20,4','27')
('27TOT2012','TOT','2012','20,4','27')
('27TOT2017','TOT','2017','19,1','27')
('28TOT1989','TOT','1989','47,4','28')
